	Gujrati	English
778	સીવાન જિલ્લો	Siwan district
779	સીતામઢી જિલ્લો	Sitamarhi district
780	ઊએતેર્સેન્	Uetersen
781	સમસ્તીપુર જિલ્લો	Samastipur district
782	સહરસા જિલ્લો	Saharsa district
783	લખીસરાય જિલ્લો	Lakhisarai district
784	મધુબની જિલ્લો	Madhubani district
785	મુજફ્ફરપુર જિલ્લો	Muzaffarpur district
786	મુંગેર જિલ્લો	Munger district
787	મધેપુરા જિલ્લો	Madhepura district
788	ભાગલપુર જિલ્લો	Bhagalpur district
789	ભોજપુર જિલ્લો	Bhojpur district, Bihar
790	કૈમૂર જિલ્લો	Kaimur district
791	ગયા જિલ્લો	Gaya district
792	બક્સર જિલ્લો	Buxar district
793	બેગૂસરાય જિલ્લો	Begusarai district
794	પશ્ચિમ ચંપારણ જિલ્લો	West Champaran district
795	દરભંગા જિલ્લો	Darbhanga district
796	પટણા જિલ્લો	Patna district
797	નાલંદા જિલ્લો	Nalanda district
798	જહાનાબાદ જિલ્લો	Jehanabad district
799	જમુઈ જિલ્લો	Jamui district
800	ખગડિયા જિલ્લો	Khagaria district
801	અરવલ જિલ્લો	Arwal district
802	ગોપાલગંજ જિલ્લો	Gopalganj district, India
803	કટિહાર જિલ્લો	Katihar district
804	કિશનગંજ જિલ્લો	Kishanganj district
805	ઔરંગાબાદ જિલ્લો 	Aurangabad district, Bihar
806	અરરિયા જિલ્લો	Araria district
807	એલેપ્પી જિલ્લો	Alappuzha district
808	એર્નાકુલમ જિલ્લો	Ernakulam district
809	કાસરગોડ જિલ્લો	Kasaragod district
810	વયનાડ જિલ્લો	Wayanad district
811	મલપ્પુરમ જિલ્લો	Malappuram district
812	પલક્કડ જિલ્લો	Palakkad district
813	કોલ્લમ જિલ્લો	Kollam district
814	કોટ્ટયમ જિલ્લો	Kottayam district
815	કણ્ણૂર જિલ્લો	Kannur district
816	ઇડ્ડક્કિ જિલ્લો	Idukki district
817	ત્રિશ્શૂર જિલ્લો	Thrissur district
818	કોઝીક્કોડ જિલ્લો	Kozhikode district
819	બાગેશ્વર જિલ્લો	Bageshwar district
820	અલમોડા જિલ્લો	Almora district
821	ચમોલી જિલ્લો	Chamoli district
822	ચંપાવત જિલ્લો	Champawat district
823	દેહરાદૂન જિલ્લો	Dehradun district
824	હરદ્વાર જિલ્લો	Haridwar district
825	નૈનિતાલ જિલ્લો	Nainital district
826	ઉત્તરકાશી જિલ્લો	Uttarkashi district
827	પિથોરગઢ જિલ્લો	Pithoragarh district
828	રુદ્રપ્રયાગ જિલ્લો	Rudraprayag district
829	તેહરી ગઢવાલ જિલ્લો	Tehri Garhwal district
830	પૌડી ગઢવાલ જિલ્લો	Pauri Garhwal district
831	ઉધમસિંગ નગર જિલ્લો	Udham Singh Nagar district
832	ભીમદેવ સોલંકી	Bhima I
833	કર્ણદેવ સોલંકી	Karna 
834	અમૃતસર જિલ્લો	Amritsar district
835	કપૂરથલા જિલ્લો	Kapurthala district
836	ગુરદાસપુર જિલ્લો	Gurdaspur district
837	જલંધર જિલ્લો	Jalandhar district
838	તરન તારન સાહિબ જિલ્લો	Tarn Taran district
839	પટિયાલા જિલ્લો	Patiala district
840	મોગા જિલ્લો	Moga district
841	માનસા જિલ્લો	Mansa district, Punjab
842	બરનાલા જિલ્લો	Barnala district
843	હોશિયારપુર જિલ્લો	Hoshiarpur district
844	મોહાલી જિલ્લો	Sahibzada Ajit Singh Nagar district
845	રુપનગર જિલ્લો	Rupnagar district
846	સંગરુર જિલ્લો	Sangrur district
847	લુધિયાણા જિલ્લો	Ludhiana district
848	મુક્તસર જિલ્લો	Shri Muktsar Sahib district
849	ભટિન્ડા જિલ્લો	Bathinda district
850	ફિરોઝપુર જિલ્લો	Firozpur district
851	ફરીદકોટ જિલ્લો	Faridkot district
852	ફતેહગઢ સાહિબ જિલ્લો	Fatehgarh Sahib district
853	પ્રાથમિક શાળા	Primary school
854	માધ્યમિક શાળા	Secondary school
855	અકોલા જિલ્લો	Akola district
856	અમરાવતી જિલ્લો	Amravati district
857	અહમદનગર જિલ્લો	Ahmednagar district
858	ઔરંગાબાદ જિલ્લો	Aurangabad district, Maharashtra
859	બીડ જિલ્લો	Beed district
860	ભંડારા જિલ્લો	Bhandara district
861	ધુલિયા જિલ્લો	Dhule district
862	યવતમાળ જિલ્લો	Yavatmal district
863	નંદરબાર જિલ્લો	Nandurbar district
864	સિંધુદુર્ગ જિલ્લો	Sindhudurg district
865	વાશીમ જિલ્લો	Washim district
866	નારદ મુનિ	Narada
867	ચંદ્રપૂર જિલ્લો	Chandrapur district
868	પુના જિલ્લો	Pune district
869	વર્ધા જિલ્લો	Wardha district
870	ગડચિરોલી જિલ્લો	Gadchiroli district
871	મુંબઈ ઉપનગરી જિલ્લો	Mumbai Suburban district
872	થાણા જિલ્લો	Thane district
873	લાતૂર જિલ્લો	Latur district
874	જાલના જિલ્લો	Jalna district
875	જલગાંવ જિલ્લો	Jalgaon district
876	સાતારા જિલ્લો	Satara district
877	સોલાપૂર જિલ્લો	Solapur district
878	સાંગલી જિલ્લો	Sangli district
879	રાયગડ જિલ્લો	Raigad district
880	હિંગોલી જિલ્લો	Hingoli district
881	વીણા	Veena
882	તાનસેન	Tansen
883	નાંદેડ જિલ્લો	Nanded district
884	નાગપૂર જિલ્લો	Nagpur district
885	રત્નાગિરી જિલ્લો	Ratnagiri district
886	ઉસ્માનાબાદ જિલ્લો	Osmanabad district
887	કોલ્હાપૂર જિલ્લો	Kolhapur district
888	વાલોડ	Valod
889	નિઝર તાલુકો	Nijhar
890	બરવાળા તાલુકો	Barwala Taluka
891	સાણંદ	Sanand
892	ધોળકા	Dholka
893	ધંધુકા	Dhandhuka
894	બાવળા તાલુકો	Bavla 
895	રાણપુર	Ranpur
896	વિરમગામ	Viramgam
897	દેત્રોજ	Detroj
898	માંડલ	Mandal, Gujarat
899	અમદાવાદ સીટી તાલુકો	Ahmedabad city 
900	પારડી	Pardi
901	ધરમપુર	Dharampur, Gujarat
902	કામરેજ	Kamrej
903	ઉમરપાડા	Umarpada
904	કરજણ	Karjan
905	ડભોઇ	Dabhoi
906	જિલ્લો	District
907	દેશ	Country
908	તાલુકો	Tehsil
909	માંડવી 	Mandvi 
910	ઓલપાડ	Olpad
911	વાઘોડિયા	Waghodia
912	લખપત	Lakhpat
913	ભચાઉ	Bhachau
914	નખત્રાણા	Nakhatrana
915	રાણાવાવ	Ranavav
916	કુતિયાણા	Kutiyana
917	અગરતલા	Agartala
918	સી. વી. રામન	C. V. Raman
919	તળાવ	Lake
920	વેબ ડિઝાઈન	Web design
921	ટંકારા	Tankara
922	જસદણ	Jasdan
923	ગોંડલ	Gondal, India
924	જેતપુર	Jetpur, Navagadh
925	ધોરાજી	Dhoraji
926	પડધરી	Paddhari
927	જામકંડોરણા	Jam Kandorna
928	વાંકાનેર	Wankaner
929	મોરબી	Morbi
930	ઉપલેટા	Upleta
931	તબલા	Tabla
932	અમીર ખુશરો	Amir Khusrow
933	કૈફાઇર જિલ્લો	Kiphire district
934	કોહિમા જિલ્લો	Kohima district
935	જુન્હેમોટો જિલ્લો	Zunheboto
936	દીમાપૂર જિલ્લો	Dimapur district
937	ટ્વેનસાંગ જિલ્લો	Tuensang district
938	પેરેન જિલ્લો	Peren district
939	ફેક જિલ્લો	Phek district
940	લોન્ગલેન્ગ જિલ્લો	Longleng district
941	વોખા જિલ્લો	Wokha district
942	મોન જિલ્લો	Mon district
943	મોકોક્ચુન્ગ જિલ્લો	Mokokchung district
944	કોહિમા	Kohima
945	ખમણ	Khaman
946	લાડુ	Laddu
947	ચબુતરો	Chabutro
948	ભમરડો	Top
949	ઉત્તરાયણ	Uttarayana
950	ચાળીસગાંવ	Chalisgaon
951	ભડગાંવ	Bhadgaon, Maharashtra
952	જલગાંવ	Jalgaon
953	ધરણગાંવ	Dharangaon
954	ભુસાવળ	Bhusawal
955	અમલનેર	Amalner
956	ચોપડા	Chopda
957	યાવલ	Yawal
958	રાવેર	Raver, Maharashtra
959	બોદવડ	Bodwad
960	કવર્ધા જિલ્લો	Kabirdham district
961	કાંકેર જિલ્લો	Kanker district
962	કોરબા જિલ્લો	Korba district
963	કોરિયા જિલ્લો	Koriya district
964	જશપુર જિલ્લો	Jashpur district
965	જાંજગીર-ચમ્પા જિલ્લો	Janjgir–Champa district
966	દંતેવાડા	Dantewada
967	દુર્ગ જિલ્લો	Durg district
968	ધમતરી જિલ્લો	Dhamtari district
969	સરગુજા જિલ્લો	Surguja district
970	રાયપુર જિલ્લો	Raipur district
971	રાયગઢ જિલ્લો	Raigarh district
972	રાજનાંદગાંવ જિલ્લો	Rajnandgaon district
973	મહાસમન્દ જિલ્લો	Mahasamund district
974	બસ્તર જિલ્લો	Bastar district
975	બિલાસપુર જિલ્લો, છત્તીસગઢ	Bilaspur district, Chhattisgarh
976	સાંદીપનિ	Sandipani
977	કણ્વ	Kanva
978	શિયાળો	Winter
979	ઉનાળો	Summer
980	ચોમાસુ	Monsoon
981	ઑસ્ટ્રેલિયા	Australia
982	અમેરિકા	Americas
983	શૂન્યાવકાશ	Outer space
984	આંખ	Eye
985	હાથ	Hand
986	પગ	Leg
987	અનામિકા	Ring finger
988	મધ્યમા	Middle finger
989	તર્જની	Index finger
990	જીભ	Tongue
991	નખ	Nail 
992	કોડરમા જિલ્લો	Koderma district
993	ગઢવા જિલ્લો	Garhwa district
994	ગિરીડીહ જિલ્લો	Giridih district
995	ગુમલા જિલ્લો	Gumla district
996	ચતરા જિલ્લો	Chatra district
997	શિરડીના સાંઇબાબા	Sai Baba of Shirdi
998	સંગીત	Music
999	તાલ	Rhythm
1000	અંતરા	Antara 
1001	લય	Bandish
1002	ગીત	Song
1003	શ્રુતિ	Shruti 
1004	રાગ	Raga
1005	વાળ	Hair
1006	સપ્તક	Saptak
1007	સૂર	Svara
1008	જામતાડા જિલ્લો	Jamtara district
1009	દુમકા જિલ્લો	Dumka district
1010	દેવધર જિલ્લો	Deoghar district
1011	ધનબાદ જિલ્લો	Dhanbad district
1012	બોકારો જિલ્લો	Bokaro district
1013	ગોડ્ડા જિલ્લો	Godda district
1014	પલામૂ જિલ્લો	Palamu district
1015	પાકુડ જિલ્લો	Pakur district
1016	રાંચી જિલ્લો	Ranchi district
1017	લાતેહાર જિલ્લો	Latehar district
1018	હજારીબાગ જિલ્લો	Hazaribagh district
1019	સિમડેગા જિલ્લો	Simdega district
1020	સાહિબગંજ જિલ્લો	Sahebganj district
1021	લોહરદગ્ગા જિલ્લો	Lohardaga district
1022	પૂર્વીય સિંહભૂમ જિલ્લો	East Singhbhum district
1023	સરાઇકેલા ખરસાવાં જિલ્લો	Seraikela Kharsawan district
1024	પશ્ચિમી સિંહભૂમ જિલ્લો	West Singhbhum district
1025	કરસનભાઇ પટેલ	Karsanbhai Patel
1026	અંબાલા જિલ્લો	Ambala district
1027	પાનીપત જિલ્લો	Panipat district
1028	યમુનાનગર જિલ્લો	Yamunanagar district
1029	ફરીદાબાદ જિલ્લો	Faridabad district
1030	કરનાલ જિલ્લો	Karnal district
1031	સિરસા જિલ્લો	Sirsa district
1032	રોહતક જિલ્લો	Rohtak district
1033	સોનીપત જિલ્લો	Sonipat district
1034	દૂધ	Milk
1035	બ્રહ્મા	Brahma
1036	શિવ	Shiva
1038	ગણેશ	Ganesha
1039	રતન તાતા	Ratan Tata
1040	જમશેદજી તાતા	Jamsetji Tata
1041	મિર્ઝા ગાલિબ	Ghalib
1042	માઉન્ટ આબુ	Mount Abu
1043	આઇઝેક ન્યૂટન	Isaac Newton
1048	ઇટાનગર	Itanagar
1049	લખનૌ	Lucknow
1051	દાઢી	Beard
1052	મુછ	Moustache
1053	ચકલી	Sparrow
1054	મનુષ્ય	Human
1055	શનિદેવ	Shani
1056	ટોડરમલ	Todar Mal
1057	અબુલ ફઝલ	Abu'l-Fazl ibn Mubarak
1058	વેરાવળ	Veraval
1059	અંજા જિલ્લો	Anjaw district
1060	ચેંગલોન્ગ જિલ્લો	Changlang district
1061	લોહિત જિલ્લો	Lohit district
1062	તવાંગ જિલ્લો	Tawang district
1063	તિરપ જિલ્લો	Tirap district
1064	પપુમપારે જિલ્લો	Papum Pare district
1065	કંસ	Kamsa
1066	જરાસંધ	Jarasandha
1067	શિશુપાલ	Shishupala
1069	સૂચિ	Contents
1070	અરુણાચલ પ્રદેશ	Arunachal Pradesh
1071	હરિયાણા	Haryana
1072	ઉત્તર પ્રદેશ	Uttar Pradesh
1073	રાજસ્થાન	Rajasthan
1074	ઝારખંડ	Jharkhand
1075	આસારામ બાપુ	Asaram
1078	કપડવંજ	Kapadvanj
1079	માહિતીચોકઠું વ્યક્તિ	Infobox person
1080	આણંદ	Anand, Gujarat
1081	દામોદર કુંડ	Damodar Kund
1082	નડીઆદ	Nadiad
1083	ગાયત્રી	Gayatri Mantra
1085	કાનાજી ઠાકોર	Kanaji Thakor
1086	આગ્રા જિલ્લો	Agra district
